276	East End Of Dauphin	EastEndOfDauphin	1	1
277	Echo	Echo	1	1
278	Eclectic	Eclectic	1	1
279	Edna	Edna	1	1
280	Edwardsville	Edwardsville	1	1
281	Edwin	Edwin	1	1
282	Eight Mile	EightMile	1	1
283	Elba	Elba	1	1
284	Elberta	Elberta	1	1
285	Eldridge	Eldridge	1	1
286	Eliska	Eliska	1	1
287	Elkmont	Elkmont	1	1
288	Elsanor	Elsanor	1	1
289	Emelle	Emelle	1	1
290	Enon	Enon	1	1
291	Enterprise	Enterprise	1	1
292	Enterprise Municipal A/P	EnterpriseMunicipalA/P	1	1
293	Eoda	Eoda	1	1
294	Epes	Epes	1	1
295	Escatawpa	Escatawpa	1	1
296	Estelle	Estelle	1	1
297	Estothel	Estothel	1	1
298	Ethelsville	Ethelsville	1	1
299	Eufaula	Eufaula	1	1
300	Eunola	Eunola	1	1
301	Eutaw	Eutaw	1	1
302	Eva	Eva	1	1
303	Evansboro	Evansboro	1	1
304	Evergreen	Evergreen	1	1
305	Ewell	Ewell	1	1
306	Excel	Excel	1	1
307	Fadette	Fadette	1	1
308	Fairfield	Fairfield	1	1
309	Fairford	Fairford	1	1
310	Fairhope	Fairhope	1	1
311	Fairnelson	Fairnelson	1	1
312	Fairview	Fairview	1	1
313	Falco	Falco	1	1
314	Falkville	Falkville	1	1
315	Farley Nuclear Plant	FarleyNuclearPlant	1	1
316	Fatama	Fatama	1	1
317	Faunsdale	Faunsdale	1	1
318	Fayette	Fayette	1	1
319	Finchburg	Finchburg	1	1
320	Five Points	FivePoints	1	1
321	Flint City	FlintCity	1	1
322	Flomaton	Flomaton	1	1
323	Florala	Florala	1	1
324	Florence	Florence	1	1
325	Foley	Foley	1	1
326	Forest Hill	ForestHill	1	1
327	Forest Home	ForestHome	1	1
328	Forestdale	Forestdale	1	1
329	Forkland	Forkland	1	1
330	Fort Deposit	FortDeposit	1	1
331	Fort Mcclellan	FortMcclellan	1	1
332	Fort Morgan	FortMorgan	1	1
333	Fort Payne	FortPayne	1	1
334	Fort Rucker	FortRucker	1	1
335	Fort Stoddard	FortStoddard	1	1
336	Foshee	Foshee	1	1
337	Fountain	Fountain	1	1
338	Franklin	Franklin	1	1
339	Frankville	Frankville	1	1
340	Freemanville	Freemanville	1	1
341	Frisco	Frisco	1	1
342	Frisco City	FriscoCity	1	1
343	Fruitdale	Fruitdale	1	1
344	Fruithurst	Fruithurst	1	1
345	Fulton	Fulton	1	1
346	Fultondale	Fultondale	1	1
347	Furman	Furman	1	1
348	Fyffe	Fyffe	1	1
349	Gadsden	Gadsden	1	1
350	Gainestown	Gainestown	1	1
351	Gainesville	Gainesville	1	1
352	Ganer	Ganer	1	1
353	Gantt	Gantt	1	1
354	Gantts Quarry	GanttsQuarry	1	1
355	Garden City	GardenCity	1	1
356	Gardendale	Gardendale	1	1
357	Garland	Garland	1	1
358	Garretts Crossroads	GarrettsCrossroads	1	1
359	Gasque	Gasque	1	1
360	Gastonburg	Gastonburg	1	1
361	Gateswood	Gateswood	1	1
362	Gaylesville	Gaylesville	1	1
363	Geiger	Geiger	1	1
364	Geneva	Geneva	1	1
365	Geneva Municipal A/P	GenevaMunicipalA/P	1	1
366	Georgetown	Georgetown	1	1
367	Georgiana	Georgiana	1	1
368	Gerald	Gerald	1	1
369	Geraldine	Geraldine	1	1
370	Gilbertown	Gilbertown	1	1
371	Glen Allen	GlenAllen	1	1
372	Glencoe	Glencoe	1	1
373	Glenwood	Glenwood	1	1
374	Goldberg Field	GoldbergField	1	1
375	Goldville	Goldville	1	1
376	Good Hope	GoodHope	1	1
377	Goodman	Goodman	1	1
378	Goodwater	Goodwater	1	1
379	Goodway	Goodway	1	1
380	Gordo	Gordo	1	1
381	Gordon	Gordon	1	1
382	Goshen	Goshen	1	1
383	Graball	Graball	1	1
384	Grand Bay	GrandBay	1	1
385	Grandberry Crossroads	GrandberryCrossroads	1	1
386	Grangeburg	Grangeburg	1	1
387	Grant	Grant	1	1
388	Graysville	Graysville	1	1
389	Greater Salem Church	GreaterSalemChurch	1	1
390	Green Acres	GreenAcres	1	1
391	Green Bay	GreenBay	1	1
392	Greensboro	Greensboro	1	1
393	Greenville	Greenville	1	1
394	Greenwood	Greenwood	1	1
395	Grimes	Grimes	1	1
396	Grove Hill	GroveHill	1	1
397	Guin	Guin	1	1
398	Gulf Shores	GulfShores	1	1
399	Gulfcrest	Gulfcrest	1	1
400	Guntersville	Guntersville	1	1
401	Gurley	Gurley	1	1
402	Gu-Win	Gu-Win	1	1
403	Hackleburg	Hackleburg	1	1
404	Hacoda	Hacoda	1	1
405	Haleburg	Haleburg	1	1
406	Haleyville	Haleyville	1	1
407	Half Acre	HalfAcre	1	1
408	Halsell	Halsell	1	1
409	Hamilton	Hamilton	1	1
410	Hammondville	Hammondville	1	1
411	Hanceville	Hanceville	1	1
412	Hanchey Field	HancheyField	1	1
413	Hardwickburg	Hardwickburg	1	1
414	Harmon	Harmon	1	1
415	Harpersville	Harpersville	1	1
416	Hartford	Hartford	1	1
417	Hartselle	Hartselle	1	1
418	Harvest	Harvest	1	1
419	Hawthorn	Hawthorn	1	1
420	Hayden	Hayden	1	1
421	Hayes	Hayes	1	1
422	Hayneville	Hayneville	1	1
423	Hazel Green	HazelGreen	1	1
424	Headland	Headland	1	1
425	Headland Municipal A/P	HeadlandMunicipalA/P	1	1
426	Healing Springs	HealingSprings	1	1
427	Heath	Heath	1	1
428	Heflin	Heflin	1	1
429	Helena	Helena	1	1
430	Henagar	Henagar	1	1
431	Hendrix Crossroad	HendrixCrossroad	1	1
432	Herbert	Herbert	1	1
433	High Bluff	HighBluff	1	1
434	Highfalls	Highfalls	1	1
435	Highland Home	HighlandHome	1	1
436	Highland Lake	HighlandLake	1	1
437	Hillsboro	Hillsboro	1	1
438	Hinton	Hinton	1	1
439	Hobson City	HobsonCity	1	1
440	Hodges	Hodges	1	1
441	Hodgesville	Hodgesville	1	1
442	Hodgewood	Hodgewood	1	1
443	Hokes Bluff	HokesBluff	1	1
444	Holley Store	HolleyStore	1	1
445	Hollingers Island	HollingersIsland	1	1
446	Hollis Dairy Road	HollisDairyRoad	1	1
447	Holly Pond	HollyPond	1	1
448	Hollywood	Hollywood	1	1
449	Holman Prison	HolmanPrison	1	1
450	Holt	Holt	1	1
451	Holtamville	Holtamville	1	1
452	Homewood	Homewood	1	1
453	Honoraville	Honoraville	1	1
454	Hooper Stage Field	HooperStageField	1	1
455	Hoover	Hoover	1	1
456	Hope Hull	HopeHull	1	1
457	Houstonville	Houstonville	1	1
458	Howells	Howells	1	1
459	Hueytown	Hueytown	1	1
460	Huguley	Huguley	1	1
461	Hunt Field	HuntField	1	1
462	Huntsville	Huntsville	1	1
463	Hurricane	Hurricane	1	1
464	Hurtsboro	Hurtsboro	1	1
465	Hutchens Elementar	HutchensElementar	1	1
466	Huxford	Huxford	1	1
467	Hybart	Hybart	1	1
468	Ider	Ider	1	1
469	Indian Springs	IndianSprings	1	1
470	Industry	Industry	1	1
471	Ino	Ino	1	1
472	Inverness	Inverness	1	1
473	Irondale	Irondale	1	1
474	Irvington	Irvington	1	1
475	Isney	Isney	1	1
476	Jachin	Jachin	1	1
477	Jack	Jack	1	1
478	Jackson	Jackson	1	1
479	Jackson Oak	JacksonOak	1	1
480	Jacksons' Gap	JacksonsGap	1	1
481	Jacksonville	Jacksonville	1	1
482	Jasper	Jasper	1	1
483	Java	Java	1	1
484	Jeddo	Jeddo	1	1
485	Jefferson	Jefferson	1	1
486	Jemison	Jemison	1	1
487	Johnsonville	Johnsonville	1	1
488	Jones Crossroads	JonesCrossroads	1	1
489	Jordan	Jordan	1	1
490	Kansas	Kansas	1	1
491	Keego	Keego	1	1
492	Keith	Keith	1	1
493	Kelly	Kelly	1	1
494	Kelly Springs	KellySprings	1	1
495	Kellys Crossroads	KellysCrossroads	1	1
496	Kennedy	Kennedy	1	1
497	Keyton	Keyton	1	1
498	Keytons	Keytons	1	1
499	Killen	Killen	1	1
500	Kimberly	Kimberly	1	1
501	Kimbrough	Kimbrough	1	1
502	Kinsey	Kinsey	1	1
503	Kinston	Kinston	1	1
504	Kirkland	Kirkland	1	1
505	Kirkland Crossroads	KirklandCrossroads	1	1
506	Klondyke Hill	KlondykeHill	1	1
507	Knollwood Hospital	KnollwoodHospital	1	1
508	Knox Field	KnoxField	1	1
509	Koenton	Koenton	1	1
510	Kushla	Kushla	1	1
511	Laceys Spring	LaceysSpring	1	1
512	Ladd Stadium	LaddStadium	1	1
513	Ladonia	Ladonia	1	1
514	Lafayette	Lafayette	1	1
515	Lake Purdy	LakePurdy	1	1
516	Lakeview	Lakeview	1	1
517	Lamison	Lamison	1	1
518	Land	Land	1	1
519	Lanett	Lanett	1	1
520	Langan Park	LanganPark	1	1
521	Langdale	Langdale	1	1
522	Langston	Langston	1	1
523	Latham	Latham	1	1
524	Laurendine	Laurendine	1	1
525	Lavaca	Lavaca	1	1
526	Lawrenceville	Lawrenceville	1	1
527	Lee	Lee	1	1
528	Leeds	Leeds	1	1
529	Leesburg	Leesburg	1	1
530	Leighton	Leighton	1	1
531	Lenox	Lenox	1	1
532	Leroy	Leroy	1	1
533	Lester	Lester	1	1
534	Level Plains	LevelPlains	1	1
535	Lexington	Lexington	1	1
536	Libertyville	Libertyville	1	1
537	Light	Light	1	1
538	Lillian	Lillian	1	1
539	Lincoln	Lincoln	1	1
540	Linden	Linden	1	1
541	Lineville	Lineville	1	1
542	Lipscomb	Lipscomb	1	1
543	Lisman	Lisman	1	1
544	Little River	LittleRiver	1	1
545	Little Rock	LittleRock	1	1
546	Littleville	Littleville	1	1
547	Live Oak	LiveOak	1	1
548	Livingston	Livingston	1	1
549	Loachapoka	Loachapoka	1	1
550	Loango	Loango	1	1
551	Lockhart	Lockhart	1	1
552	Locust Fork	LocustFork	1	1
553	Logan Field Municipal A/P	LoganFieldMunicipalA/P	1	1
554	Long Island	LongIsland	1	1
555	Loper	Loper	1	1
556	Loree	Loree	1	1
557	Lott And Coleman D	Lott-ColemanD	1	1
558	Lottie	Lottie	1	1
559	Lou	Lou	1	1
560	Louisville	Louisville	1	1
561	Lovetown	Lovetown	1	1
562	Lowe Army Heliport	LoweArmyHeliport	1	1
563	Lower Peach Tree	LowerPeachTree	1	1
564	Lowery	Lowery	1	1
565	Lowndesboro	Lowndesboro	1	1
566	Lowry Mill	LowryMill	1	1
567	Loxley	Loxley	1	1
568	Lucile	Lucile	1	1
569	Lucy	Lucy	1	1
570	Luverne	Luverne	1	1
571	Lyeffion	Lyeffion	1	1
572	Lynn	Lynn	1	1
573	Lytle	Lytle	1	1
574	Mabson	Mabson	1	1
575	Madison	Madison	1	1
576	Madison Crossroads	MadisonCrossroads	1	1
577	Madrid	Madrid	1	1
578	Magnolia	Magnolia	1	1
579	Magnolia Grove Gol	MagnoliaGroveGol	1	1
580	Magnolia Springs	MagnoliaSprings	1	1
581	Malbis	Malbis	1	1
582	Malcolm	Malcolm	1	1
583	Malta	Malta	1	1
584	Malvern	Malvern	1	1
585	Manilla	Manilla	1	1
586	Manistee	Manistee	1	1
587	Maplesville	Maplesville	1	1
588	Margaret	Margaret	1	1
589	Marion	Marion	1	1
590	Marl	Marl	1	1
591	Marley Hill	MarleyHill	1	1
592	Marlow	Marlow	1	1
593	Marvin Chapel	MarvinChapel	1	1
594	Maytown	Maytown	1	1
595	Mcbrydes	Mcbrydes	1	1
596	Mccullough	Mccullough	1	1
597	Mcintosh	Mcintosh	1	1
598	Mckenzie	Mckenzie	1	1
599	Mcmullen	Mcmullen	1	1
600	Mcwilliams	Mcwilliams	1	1
601	Meadowbrook	Meadowbrook	1	1
602	Medal Of Honor Park	MedalOfHonorPark	1	1
603	Megargel	Megargel	1	1
604	Melvin	Melvin	1	1
605	Memphis	Memphis	1	1
606	Mentone	Mentone	1	1
607	Meridianville	Meridianville	1	1
608	Merritts Crossroads	MerrittsCrossroads	1	1
609	Mexia	Mexia	1	1
610	Midfield	Midfield	1	1
611	Midland City	MidlandCity	1	1
612	Midway	Midway	1	1
613	Miflin	Miflin	1	1
614	Mignon	Mignon	1	1
615	Millbrook	Millbrook	1	1
616	Miller	Miller	1	1
617	Millers Ferry	MillersFerry	1	1
618	Millport	Millport	1	1
619	Millry	Millry	1	1
620	Mineola	Mineola	1	1
621	Minor	Minor	1	1
622	Mixons Crossroads	MixonsCrossroads	1	1
623	Mixonville	Mixonville	1	1
624	Mobile	Mobile	1	1
625	Moffet	Moffet	1	1
626	Mon Louis	MonLouis	1	1
627	Monroeville	Monroeville	1	1
628	Montery	Montery	1	1
629	Montevallo	Montevallo	1	1
630	Montgomery	Montgomery	1	1
631	Montrose	Montrose	1	1
632	Moody	Moody	1	1
633	Moores Mill	MooresMill	1	1
634	Mooresville	Mooresville	1	1
635	Morris	Morris	1	1
636	Morris Chapel	MorrisChapel	1	1
637	Morvin	Morvin	1	1
638	Mosses	Mosses	1	1
639	Moulton	Moulton	1	1
640	Moundville	Moundville	1	1
641	Mount Pleasant	MountPleasant	1	1
642	Mount Vernon	MountVernon	1	1
643	Mountain Brook	MountainBrook	1	1
644	Mountainboro	Mountainboro	1	1
645	Mouth Of Weeks Bay	MouthOfWeeksBay	1	1
646	Mt Pleasant	MtPleasant	1	1
647	Mt Sterling	MtSterling	1	1
648	Mulga	Mulga	1	1
649	Murphy Station	MurphyStation	1	1
650	Muscle Shoals	MuscleShoals	1	1
651	Myrtlewood	Myrtlewood	1	1
652	Nadawah	Nadawah	1	1
653	Naheola	Naheola	1	1
654	Nanafalia	Nanafalia	1	1
655	Napier Field	NapierField	1	1
656	Natchez	Natchez	1	1
657	Nauvoo	Nauvoo	1	1
658	Nectar	Nectar	1	1
659	Needham	Needham	1	1
660	Nettleboro	Nettleboro	1	1
661	New Brockton	NewBrockton	1	1
662	New Haven	NewHaven	1	1
663	New Hope	NewHope	1	1
664	New Market	NewMarket	1	1
665	New Site	NewSite	1	1
666	Newbern	Newbern	1	1
667	Newby	Newby	1	1
668	Newton	Newton	1	1
669	Newville	Newville	1	1
670	Nichburg	Nichburg	1	1
671	Nokomis	Nokomis	1	1
672	North Courtland	NorthCourtland	1	1
673	North Johns	NorthJohns	1	1
674	Northport	Northport	1	1
675	Notasulga	Notasulga	1	1
676	Nymph	Nymph	1	1
677	Oak	Oak	1	1
678	Oak Grove	OakGrove	1	1
679	Oak Hill	OakHill	1	1
680	Oakchia	Oakchia	1	1
681	Oakman	Oakman	1	1
682	Oaky Streak	OakyStreak	1	1
683	Octagon	Octagon	1	1
684	Odenville	Odenville	1	1
685	Ohatchee	Ohatchee	1	1
686	Old Spring Hill	OldSpringHill	1	1
687	Olympia Spa Resort	OlympiaSpaResort	1	1
688	Oneonta	Oneonta	1	1
689	Onycha	Onycha	1	1
690	Opelika	Opelika	1	1
691	Opine	Opine	1	1
692	Opp	Opp	1	1
693	Orange Beach	OrangeBeach	1	1
694	Orrville	Orrville	1	1
695	Osaka	Osaka	1	1
696	Otho	Otho	1	1
697	Owassa	Owassa	1	1
698	Owens Crossroads	OwensCrossroads	1	1
699	Oxford	Oxford	1	1
700	Ozark	Ozark	1	1
701	Packards Bend	PackardsBend	1	1
702	Paint Rock	PaintRock	1	1
703	Palmetto Beach	PalmettoBeach	1	1
704	Pansey	Pansey	1	1
705	Paragon	Paragon	1	1
706	Park City	ParkCity	1	1
707	Parker Springs	ParkerSprings	1	1
708	Parrish	Parrish	1	1
709	Patsburg	Patsburg	1	1
710	Paul	Paul	1	1
711	Peacock	Peacock	1	1
712	Pearce	Pearce	1	1
713	Pelham	Pelham	1	1
714	Pell City	PellCity	1	1
715	Pennington	Pennington	1	1
716	Pera	Pera	1	1
717	Perdido	Perdido	1	1
718	Perdue Hill	PerdueHill	1	1
719	Perry Store	PerryStore	1	1
720	Peterman	Peterman	1	1
721	Petrey	Petrey	1	1
722	Phenix City	PhenixCity	1	1
723	Phil Campbell	PhilCampbell	1	1
724	Phillips Crossroad	PhillipsCrossroad	1	1
725	Phillipsville	Phillipsville	1	1
726	Pickensville	Pickensville	1	1
727	Piedmont	Piedmont	1	1
728	Pigeon Creek	PigeonCreek	1	1
729	Pinckard	Pinckard	1	1
730	Pine Apple	PineApple	1	1
731	Pine Hill	PineHill	1	1
732	Pine Level	PineLevel	1	1
733	Pine Orchard	PineOrchard	1	1
734	Pine Ridge	PineRidge	1	1
735	Pineola	Pineola	1	1
736	Piney Grove	PineyGrove	1	1
737	Pinson-Clay-Chalkv	Pinson-Clay-Chalkv	1	1
738	Pinto Island	PintoIsland	1	1
739	Pisgah	Pisgah	1	1
740	Pleasant Grove	PleasantGrove	1	1
741	Pleasant Hill	PleasantHill	1	1
742	Pleasant Home	PleasantHome	1	1
743	Pleasant Plains	PleasantPlains	1	1
744	Poarch	Poarch	1	1
745	Point Clear	PointClear	1	1
746	Pollard	Pollard	1	1
747	Powell	Powell	1	1
748	Power Dam Road	PowerDamRoad	1	1
749	Prairie	Prairie	1	1
750	Prattville	Prattville	1	1
751	Prestwick	Prestwick	1	1
752	Priceville	Priceville	1	1
753	Prichard	Prichard	1	1
754	Providence	Providence	1	1
755	Pushmataha	Pushmataha	1	1
756	Putnam	Putnam	1	1
757	Rabun	Rabun	1	1
758	Ragland	Ragland	1	1
759	Rainbow City	RainbowCity	1	1
760	Rainsville	Rainsville	1	1
761	Ranburne	Ranburne	1	1
762	Range	Range	1	1
763	Red Bay	RedBay	1	1
764	Red Level	RedLevel	1	1
765	Red Oak	RedOak	1	1
766	Redstone Arsenal	RedstoneArsenal	1	1
767	Redtown	Redtown	1	1
768	Reece City	ReeceCity	1	1
769	Reform	Reform	1	1
770	Rehobeth	Rehobeth	1	1
771	Rehoboth	Rehoboth	1	1
772	Repton	Repton	1	1
773	Rhoades	Rhoades	1	1
774	Richburg	Richburg	1	1
775	Riderwood	Riderwood	1	1
776	Ridgeville	Ridgeville	1	1
777	River Falls	RiverFalls	1	1
778	River Ridge	RiverRidge	1	1
